experience_years,avg_daily_focus_hours,manager_rating,technical_skill_score,certifications_count,communication_score,stress_level,project_complexity,team_size
18,4.78,1,59,6,80,3,5,7
18,5.22,3,99,6,79,1,5,2
3,6.66,2,56,9,65,2,4,6
21,4.03,5,75,4,92,4,1,9
9,6.06,4,68,1,89,5,5,9
23,8.66,2,79,6,55,9,5,11
6,9.92,5,45,9,52,4,1,9
17,6.8,1,48,8,68,5,4,6
22,7.75,4,42,7,80,1,4,12
22,4.37,2,78,4,58,9,1,8
6,8.62,4,51,4,53,5,4,3
13,7.34,3,53,4,44,1,2,9
24,9.41,5,86,0,92,4,4,4
11,7.81,2,53,1,48,10,5,8
17,8.88,1,44,4,55,9,3,9
2,4.36,3,61,9,64,8,5,14
6,7.91,1,53,7,41,8,1,10
5,9.75,4,90,4,97,9,2,10
24,8.69,5,77,0,60,1,1,5
10,3.43,3,86,6,76,9,5,11
8,3.25,3,44,8,62,3,2,6
16,6.34,1,42,1,76,10,5,4
19,3.85,3,98,3,80,5,4,13
18,3.84,5,65,3,74,8,4,6
6,7.75,2,77,2,86,6,2,13
9,3.34,3,55,9,67,10,3,12
14,9.93,3,61,5,77,5,4,8
1,4.37,1,95,4,43,5,2,3
24,8.11,1,76,5,49,3,4,8
2,8.53,3,88,7,96,3,1,13
16,6.22,2,80,6,50,4,3,6
20,4.95,3,42,8,73,4,4,10
19,4.64,5,52,9,43,5,1,11
2,5.16,3,77,4,49,3,3,13
24,9.6,2,60,0,62,2,5,7
7,3.78,2,98,9,65,6,4,9
4,7.98,4,60,3,97,9,4,4
3,4.78,3,91,8,54,4,3,11
4,5.57,2,57,4,62,1,2,9
3,7.59,4,65,5,65,10,1,10
8,7.56,4,91,3,88,9,3,11
1,5.79,5,75,3,75,4,4,4
23,4.24,2,76,5,89,2,5,8
5,5.62,5,43,5,47,8,1,11
16,3.07,3,76,7,66,1,3,2
16,9.41,4,51,6,47,2,1,8
14,6.32,2,43,9,78,3,2,3
16,8.86,3,51,9,75,7,3,14
7,3.21,3,54,5,56,9,2,8
24,4.63,2,93,7,76,8,1,3
19,8.49,4,93,2,52,10,3,9
2,8.64,4,67,3,78,7,4,7
5,6.08,1,97,5,44,6,1,12
2,9.42,3,68,2,95,9,3,7
24,3.78,3,49,5,51,7,3,6
0,6.68,5,69,7,74,3,5,10
9,6.34,4,40,2,71,8,3,5
3,9.61,4,49,2,72,9,2,8
14,6.02,5,60,6,73,9,3,13
14,4.06,5,64,8,68,7,4,13
22,8.09,2,73,8,67,4,4,5
12,7.91,4,78,5,90,6,1,4
2,5.38,5,87,5,99,10,1,10
18,7.15,5,81,7,56,8,5,9
21,4.59,5,69,8,89,1,3,5
6,7.18,3,74,7,93,5,4,6
11,6.62,4,47,2,61,1,2,8
23,8.8,1,93,0,48,1,1,3
18,4.15,3,60,6,57,10,1,11
3,4.19,3,65,6,69,7,5,14
9,3.16,4,77,4,47,4,3,7
20,4.7,3,47,9,89,7,5,11
22,5.62,5,88,4,75,6,3,13
15,3.81,1,50,0,53,9,5,2
23,9.26,4,99,5,76,10,1,4
7,6.96,1,95,5,73,3,4,12
4,7.12,4,96,1,64,1,4,5
13,3.41,5,61,7,45,8,2,8
12,6.34,4,71,4,56,7,3,7
6,7.94,3,69,9,49,9,2,14
8,3.1,3,64,0,45,10,5,11
24,6.28,4,88,7,98,4,3,10
24,5.79,4,48,2,84,9,2,2
11,4.47,3,56,0,66,9,2,12
24,3.01,4,88,1,86,8,3,10
13,8.1,3,84,0,83,6,3,13
16,3.82,3,67,8,59,6,4,2
9,6.83,4,67,0,40,8,5,7
8,8.78,2,99,4,96,1,4,10
22,4.71,4,71,6,72,1,3,6
23,9.7,3,72,7,47,8,1,3
24,9.97,4,91,3,77,6,3,5
17,3.43,1,57,0,62,3,4,2
10,3.04,5,72,7,92,6,1,7
4,3.54,4,83,8,95,4,4,12
16,7.28,5,76,8,84,3,2,9
13,9.29,5,48,7,40,1,4,12
5,5.83,1,83,1,83,6,5,13
22,5.23,1,56,9,86,4,2,11
10,9.51,3,92,7,82,2,5,9
6,4.4,1,55,2,66,7,1,7
17,4.58,5,99,2,52,7,2,4
24,4.66,2,69,1,52,10,2,12
1,3.95,5,50,8,62,8,5,11
24,6.5,4,90,5,64,8,1,13
8,6.74,2,47,6,98,1,1,2
11,5.23,5,67,8,57,7,1,12
17,3.17,5,47,9,74,2,2,7
17,7.73,2,92,0,76,2,5,3
5,6.72,5,94,9,45,5,2,12
14,8.41,3,68,5,99,3,2,12
19,5.32,1,40,2,59,5,2,4
8,6.04,5,80,7,48,3,3,10
20,3.85,3,43,0,40,5,3,5
18,7.22,5,98,9,95,3,3,10
20,6.9,5,48,3,81,1,1,3
7,4.46,4,92,3,80,5,4,2
10,5.48,2,60,1,94,3,2,9
14,5.25,3,61,2,45,10,1,14
0,3.27,4,63,0,94,9,2,12
21,6.01,4,95,6,66,10,1,2
11,3.3,1,69,6,61,10,3,11
10,7.12,3,69,0,56,4,1,9
2,3.85,4,76,6,59,6,5,3
16,9.2,5,42,9,91,5,2,9
3,3.0,3,66,9,79,3,1,9
8,7.3,1,53,7,65,3,1,14
13,9.01,3,63,6,93,3,4,9
17,4.46,4,41,4,54,6,3,11
8,8.79,3,85,8,92,3,2,12
16,8.8,1,58,6,49,10,3,7
21,5.08,2,88,3,65,9,2,13
18,5.32,1,73,9,71,7,1,10
5,5.07,3,61,8,61,4,4,5
8,4.41,4,96,9,58,2,2,5
20,3.39,5,66,6,82,9,4,8
0,4.85,5,68,4,73,10,1,7
14,6.91,2,59,5,46,10,2,4
14,5.87,1,72,5,70,3,5,2
8,8.62,2,54,0,98,6,3,12
16,6.59,5,46,6,96,6,3,14
23,6.81,1,48,6,80,2,1,5
9,9.53,3,74,5,73,9,4,7
12,8.17,1,45,0,45,2,5,14
12,6.53,5,96,5,87,6,4,9
11,5.89,5,47,5,65,1,3,8
5,7.59,1,50,6,46,2,3,11
24,9.38,4,72,9,68,4,5,6
23,4.55,2,63,3,94,6,2,11
19,9.6,3,81,4,76,8,4,12
20,4.5,1,77,5,71,7,4,9
0,3.29,2,61,0,81,7,4,9
22,4.39,2,89,8,58,9,4,6
24,5.13,5,43,0,84,4,4,8
0,6.66,2,74,6,66,3,3,7
22,7.22,2,72,3,75,2,5,2
0,4.41,2,58,5,74,4,4,4
3,8.48,4,97,9,87,8,5,2
3,3.48,2,52,9,59,5,2,13
11,9.91,1,67,2,86,4,4,2
1,3.35,5,78,6,47,2,3,14
1,9.91,2,75,4,67,10,3,7
4,3.43,3,82,6,90,1,2,12
20,5.46,4,43,2,88,6,5,12
20,6.52,5,94,3,84,9,3,5
5,6.74,4,99,5,44,3,4,14
23,9.01,3,67,4,82,2,3,9
4,9.32,4,79,5,85,6,5,13
7,6.58,1,89,9,51,4,3,7
4,7.89,1,65,5,95,4,3,11
17,8.03,5,45,5,99,7,3,4
9,7.87,4,82,0,77,10,1,6
13,6.53,3,47,6,57,2,3,6
5,5.5,1,51,0,97,3,1,10
16,3.95,5,47,6,52,8,4,4
11,7.9,5,56,1,95,6,1,6
4,9.61,5,58,5,90,6,4,11
2,6.49,3,94,6,63,5,3,3
18,6.43,3,45,3,86,6,1,12
12,9.84,1,45,2,69,8,1,9
23,6.5,4,46,5,44,9,2,2
21,6.32,2,72,7,56,8,2,13
14,3.57,4,82,0,75,7,2,10
5,4.16,5,94,8,80,4,3,2
3,5.01,4,58,0,76,1,5,10
3,4.69,1,55,7,51,1,5,3
3,9.19,2,55,1,79,1,4,6
7,5.15,3,91,7,75,1,3,3
8,7.95,1,96,8,59,6,2,3
16,3.57,1,74,9,58,7,3,14
7,9.35,5,47,0,46,4,5,13
21,6.29,4,72,1,86,1,1,11
22,5.27,5,79,3,83,5,4,14
6,5.63,1,52,3,84,8,1,4
21,9.98,5,81,0,56,2,4,13
20,7.49,5,57,3,80,1,5,7
14,4.14,1,56,2,56,2,5,6
1,7.29,4,88,3,67,10,5,2
4,4.94,4,57,8,47,4,5,5
16,3.9,1,62,5,84,1,4,11
18,9.84,1,83,2,92,7,5,4
10,9.13,1,71,4,57,4,2,11
6,3.07,1,64,6,63,10,1,7
5,7.47,2,53,2,83,3,2,4
12,8.12,1,88,0,68,6,5,5
8,6.82,4,97,7,90,8,1,14
6,3.17,5,43,9,44,8,4,6
21,3.01,1,99,8,64,7,3,2
18,8.77,3,68,8,93,10,4,4
4,7.24,5,71,9,76,2,4,6
9,9.67,1,62,5,52,1,5,5
14,8.14,4,41,4,52,2,4,12
24,7.58,1,90,5,43,8,1,14
7,8.58,2,46,7,77,6,4,3
6,3.32,3,71,0,91,10,3,12
4,5.45,2,78,7,64,2,3,8
21,4.73,5,63,1,73,7,5,6
18,6.83,2,96,7,43,9,3,6
17,8.77,5,83,4,69,8,5,14
24,5.7,3,60,6,79,1,5,8
17,8.63,2,46,1,41,6,4,8
2,8.17,3,86,5,96,2,2,3
7,4.99,1,56,7,72,4,5,8
0,3.74,1,72,8,95,10,2,14
20,3.64,2,44,9,67,8,5,4
10,5.94,2,46,0,55,10,3,8
3,9.83,3,54,5,91,6,5,6
14,7.63,3,94,2,60,10,3,11
2,4.4,3,88,9,82,1,5,2
19,7.0,5,73,6,94,9,5,2
17,3.68,4,72,6,77,8,3,6
10,9.24,2,43,0,67,7,1,8
17,6.97,1,80,3,65,6,4,11
24,7.47,3,68,1,58,5,1,14
5,5.98,3,91,1,77,4,2,14
4,9.98,2,94,6,71,4,5,10
23,8.38,3,52,2,68,4,4,10
18,4.18,4,54,9,47,6,3,6
16,5.36,3,61,1,70,1,5,4
11,7.28,5,50,3,87,9,1,11
3,3.91,4,71,9,94,8,1,10
19,7.4,2,92,7,55,9,1,12
7,8.85,2,72,0,44,2,1,12
21,3.57,5,85,8,71,7,5,2
13,6.35,2,59,7,85,9,4,11
21,3.69,5,87,4,50,6,1,10
1,3.22,1,86,8,62,5,5,2
4,8.4,4,69,1,94,7,5,13
18,4.92,5,53,5,75,3,5,9
15,3.85,3,76,2,40,4,1,14
11,5.45,4,66,2,98,7,3,4
24,3.23,1,99,1,45,6,3,9
14,4.2,1,48,6,65,1,3,6
15,3.8,1,51,4,75,6,2,11
9,5.23,1,66,1,97,4,4,2
15,9.98,5,97,0,52,4,5,6
2,8.54,5,64,0,87,9,5,13
2,5.28,4,94,1,50,6,3,8
23,8.22,4,43,4,56,5,2,2
8,7.64,4,78,8,54,3,3,8
22,8.48,4,99,0,87,1,5,10
8,8.25,4,40,4,63,1,2,9
19,9.9,3,66,3,96,9,5,7
22,3.46,2,60,2,92,9,1,11
4,7.9,4,83,7,88,1,1,13
13,9.23,2,65,7,87,6,3,6
16,5.14,2,46,6,62,5,2,3
22,4.75,1,94,8,48,8,5,13
11,9.83,2,86,1,57,3,5,7
0,8.83,5,66,8,55,9,2,9
1,9.47,3,70,0,73,3,1,13
19,5.52,4,90,7,46,9,5,4
7,6.34,2,98,0,47,2,2,9
23,4.0,5,80,4,94,6,5,11
2,9.38,1,87,1,69,2,1,6
12,5.91,5,97,7,43,9,1,12
22,4.37,1,47,8,53,7,5,3
23,3.65,4,44,0,56,1,3,9
6,7.01,2,72,8,64,6,2,8
23,7.53,5,86,4,78,8,3,8
24,6.66,5,77,8,70,2,4,13
20,8.52,5,54,0,79,8,2,7
1,9.38,2,74,7,54,1,2,10
3,7.33,5,93,5,80,8,4,8
23,7.84,3,51,9,43,9,2,12
16,5.98,5,51,3,46,6,5,9
15,9.21,1,66,2,77,6,2,7
12,8.91,5,97,0,55,2,3,8
12,6.13,4,97,3,50,4,3,14
5,8.21,1,83,0,53,9,5,5
23,6.45,5,45,6,52,5,1,11
14,6.04,1,74,9,99,3,2,6
14,9.89,1,94,7,94,8,2,9
15,9.42,2,54,3,79,10,1,11
18,8.22,4,55,7,97,1,1,8
4,4.36,1,66,2,69,2,2,14
23,4.16,5,43,7,65,8,5,8
3,4.47,1,47,3,62,5,3,7
3,3.09,1,56,5,84,9,4,6
13,8.81,3,86,2,49,7,4,3
9,8.36,1,71,0,93,1,1,8
13,9.21,2,58,8,74,3,3,7
9,6.83,1,71,6,87,8,4,4
9,7.88,2,81,9,85,9,2,9
13,9.79,2,84,5,93,1,5,13
20,8.5,5,92,2,96,8,1,7
17,9.66,2,48,9,53,8,2,14
11,6.27,5,99,9,50,8,4,4
11,9.04,5,76,7,83,9,3,11
10,8.46,2,57,8,99,5,5,5
1,6.35,5,44,2,65,8,4,6
11,9.9,5,98,4,43,9,2,2
0,3.1,1,87,1,49,5,2,5
12,7.4,5,86,3,49,10,5,5
23,3.51,1,85,4,79,9,1,5
22,8.08,4,82,1,88,9,1,5
12,8.76,4,42,1,71,8,5,2
1,5.27,1,47,6,60,1,1,13
21,8.25,2,50,9,53,9,2,12
17,7.81,4,73,0,72,1,5,5
7,9.32,4,60,1,96,1,4,3
15,6.15,4,70,2,41,1,5,10
12,8.92,4,76,1,51,1,4,9
12,3.08,3,63,1,84,8,2,14
2,7.43,2,85,3,56,10,3,13
20,3.16,3,64,9,48,9,4,6
4,7.72,2,85,8,91,9,4,7
4,6.55,1,67,6,44,2,2,13
12,4.55,3,92,3,63,4,5,8
17,4.35,3,86,1,99,9,5,8
22,8.62,4,57,2,98,8,5,14
14,6.87,3,60,0,92,3,2,8
4,8.88,5,99,5,57,8,3,12
4,7.76,3,94,1,40,3,5,2
23,4.96,1,56,2,59,5,5,5
10,5.52,3,91,2,47,2,1,10
19,8.54,1,58,2,52,7,3,6
2,4.65,2,59,2,66,7,2,12
13,5.12,4,90,6,66,6,1,8
2,6.28,1,44,3,71,8,2,13
10,8.15,5,66,5,47,4,3,9
22,5.85,1,73,9,62,10,4,13
23,8.58,5,59,0,99,10,5,6
8,8.33,1,91,1,45,1,1,4
21,6.71,2,90,8,61,4,5,10
22,7.64,5,86,0,52,1,2,4
0,3.88,1,51,1,69,7,4,3
10,7.23,2,50,8,65,1,2,12
9,8.13,4,73,9,43,10,4,8
21,5.15,2,50,7,61,2,2,12
14,9.26,5,69,3,76,1,1,11
4,6.24,5,81,8,98,9,4,2
10,6.18,2,59,1,53,6,2,4
21,9.34,2,61,1,93,5,5,2
0,4.24,3,78,5,58,10,1,3
10,3.88,3,77,4,84,5,3,4
5,8.63,4,74,1,86,1,5,14
2,3.04,1,95,5,69,10,4,7
16,6.22,4,60,6,61,9,2,11
20,7.02,5,69,2,59,5,1,10
15,9.1,3,96,0,86,7,1,9
14,3.96,4,73,1,95,6,2,11
7,5.09,5,72,0,42,9,1,5
20,5.22,3,87,0,91,4,3,3
20,5.55,1,60,8,75,2,1,2
19,5.23,3,98,5,49,7,1,13
9,5.46,3,61,4,80,4,2,4
15,5.28,5,43,2,86,1,2,13
7,4.79,5,86,5,68,4,2,8
9,9.94,4,66,4,62,9,5,4
22,8.91,2,74,1,61,4,3,3
24,3.13,1,75,4,70,9,5,3
18,9.18,1,86,5,89,3,4,5
16,6.53,4,79,4,63,4,5,10
7,6.11,3,95,4,62,3,1,3
6,7.6,1,42,3,76,1,2,14
12,9.87,5,66,5,72,1,4,7
2,3.38,3,73,9,86,2,3,3
16,5.71,5,52,5,79,4,5,14
18,9.47,1,77,4,46,1,5,13
16,6.12,4,50,3,44,1,1,6
1,3.47,4,59,8,79,6,5,3
14,8.36,3,47,6,99,3,1,6
24,7.09,3,78,3,94,9,2,3
4,4.64,5,83,5,72,1,1,11
9,3.91,2,84,2,57,6,1,14
1,3.24,4,91,0,61,7,3,2
1,3.81,4,72,0,68,3,5,13
7,4.76,5,86,5,52,9,2,14
21,6.08,4,51,7,84,5,3,13
7,5.73,2,83,2,96,2,3,7
14,6.42,5,67,1,63,3,1,8
22,3.82,5,96,7,54,8,4,8
6,8.79,3,90,7,51,1,1,5
19,4.06,3,95,5,65,5,4,5
5,3.79,5,57,6,50,8,4,12
23,7.33,4,74,4,86,10,4,8
16,3.89,5,92,0,93,4,2,2
24,6.29,4,99,5,98,10,5,10
10,7.24,4,50,0,89,7,3,4
17,4.52,2,77,0,60,1,2,5
15,9.96,1,59,6,90,8,2,6
3,6.35,4,84,3,40,6,5,2
1,9.33,3,93,7,43,7,5,13
16,5.36,1,77,9,73,8,4,6
3,8.66,4,57,2,95,4,5,12
0,5.07,4,85,5,67,10,2,3
16,5.13,4,98,0,56,5,4,10
11,7.45,4,91,1,94,10,4,5
22,9.38,5,99,2,51,1,1,7
12,5.28,1,90,4,88,1,4,6
10,5.79,2,72,2,87,1,1,11
2,5.29,2,67,3,43,1,1,5
2,8.33,2,65,0,92,2,2,13
10,9.1,5,68,7,53,10,4,6
17,4.17,1,76,6,78,1,5,14
7,4.2,4,91,9,51,7,3,3
13,3.43,2,84,6,91,3,2,2
24,6.94,2,96,7,79,5,4,3
16,7.37,5,70,2,55,10,5,7
18,4.84,5,69,7,62,7,4,5
6,8.78,2,89,7,44,7,2,7
18,6.16,5,90,5,58,4,3,6
2,4.04,3,65,4,60,6,3,3
3,8.72,2,52,2,68,1,5,7
10,3.09,5,53,2,85,6,1,10
7,9.96,4,80,7,43,1,5,14
12,4.51,4,44,5,63,6,3,6
16,8.63,5,65,7,63,1,5,7
7,9.94,4,45,0,46,1,1,11
2,3.22,1,74,2,40,8,4,10
20,6.59,5,92,1,56,6,1,4
24,3.13,2,45,6,68,7,3,11
11,6.16,5,62,0,98,1,1,5
3,7.82,2,81,4,66,7,3,8
13,8.27,2,81,2,71,1,5,4
1,8.09,1,85,0,80,1,1,12
20,3.97,1,42,8,43,3,3,9
6,5.24,2,77,0,87,10,5,13
5,4.98,2,44,1,77,6,5,8
21,7.13,3,90,4,51,1,5,8
8,9.09,5,84,1,81,9,3,8
14,6.07,3,60,5,53,5,3,11
7,7.45,1,94,7,62,10,3,9
5,6.85,1,75,9,46,3,2,13
2,5.23,4,66,9,47,4,3,3
13,3.45,5,43,7,97,6,2,11
10,5.53,5,88,1,98,2,2,11
18,6.46,3,41,7,97,8,3,10
7,3.57,5,41,6,93,6,4,8
15,7.3,2,73,3,42,5,4,6
8,4.38,4,74,6,54,2,1,10
23,5.54,2,76,6,86,3,1,14
1,4.83,3,91,5,58,5,1,6
8,6.16,3,57,8,96,2,3,13
14,8.74,5,42,4,70,1,2,14
18,8.13,3,86,4,97,9,2,7
24,6.16,4,77,0,50,5,3,9
6,5.07,3,58,9,80,5,5,13
16,6.95,1,63,2,49,10,4,2
0,6.52,4,63,5,93,7,4,14
4,7.96,4,95,1,58,2,4,2
6,3.64,3,64,4,40,10,2,14
14,9.42,5,78,9,73,8,3,10
23,4.79,1,81,8,79,9,5,13
14,5.69,2,72,5,90,8,2,2
24,4.62,5,90,3,58,1,1,4
5,7.42,5,59,3,76,10,2,9
6,8.97,1,88,3,59,9,3,9
7,8.38,2,80,5,83,1,3,2
6,9.04,3,81,1,40,9,5,4
16,6.75,3,92,2,60,9,5,8
23,8.29,4,55,2,48,5,4,3
15,5.3,2,63,1,63,6,4,5
4,7.66,2,65,0,40,8,5,14
21,4.19,3,73,4,82,10,1,5
12,7.34,5,82,3,42,8,2,3
17,3.36,2,66,4,40,1,4,14
10,6.3,4,74,6,90,9,5,6
19,8.0,1,80,5,46,3,3,5
8,9.66,2,92,8,41,6,5,7
16,4.63,4,90,8,43,1,2,5
8,7.94,3,97,0,82,3,4,4
18,5.88,5,86,9,72,1,1,3
7,8.5,1,93,7,43,1,2,3
21,5.22,1,73,7,62,4,2,13
21,8.12,4,88,7,81,1,1,5
10,7.07,2,85,1,41,6,5,10
6,4.7,1,76,7,52,9,5,6
16,6.98,1,81,3,96,8,3,6
16,7.34,4,54,7,86,6,3,8
18,4.53,4,69,5,97,1,2,7
19,9.73,4,74,5,76,9,1,8
11,3.48,2,58,5,83,5,2,10
19,5.88,4,45,4,64,3,2,4
22,7.73,2,79,7,48,5,5,14
24,7.41,2,66,9,88,5,5,2
13,3.29,3,62,4,59,9,2,5
0,3.62,4,44,5,47,10,1,14
16,5.15,1,88,3,91,5,1,13
3,7.43,4,79,9,76,1,4,4
5,3.3,4,63,8,42,3,4,4
12,8.74,2,73,7,55,3,4,7
21,4.15,2,79,6,44,3,1,10
15,3.1,1,62,9,95,5,5,6
5,3.43,2,84,6,59,3,5,8
6,5.3,3,78,0,75,4,3,5
10,8.47,2,96,1,63,3,5,13
6,4.87,5,62,1,78,7,1,14
18,5.91,1,80,0,43,7,3,6
13,3.63,3,82,5,49,9,4,12
17,6.69,1,76,7,54,10,2,6
14,3.58,3,50,0,60,6,2,11
18,7.33,2,88,3,66,10,4,10
7,4.04,4,58,7,98,2,5,14
22,8.76,2,79,9,65,4,2,8
21,6.48,4,45,9,41,7,2,11
5,6.08,2,84,4,50,4,4,14
17,5.82,5,89,0,50,2,5,9
20,6.59,5,62,5,54,4,1,12
11,3.85,2,85,6,63,7,4,2
9,9.13,3,90,5,54,5,2,5
16,5.27,2,64,8,53,5,3,8
10,4.87,4,60,7,55,5,3,11
1,4.05,3,43,7,80,9,2,12
13,4.89,5,79,1,50,2,5,9
22,7.04,3,51,6,81,10,3,10
4,6.2,5,85,5,80,7,5,13
14,9.24,3,63,4,49,9,3,5
2,5.21,2,99,2,50,8,2,4
9,3.93,2,41,9,87,5,5,10
10,4.14,5,64,0,79,4,4,12
10,4.71,2,52,2,68,2,5,12
24,4.81,5,65,3,99,2,1,13
17,3.74,2,60,6,97,9,4,4
17,4.64,5,95,3,86,1,1,10
18,3.15,3,76,6,52,9,2,6
21,7.16,5,97,7,74,2,5,6
24,5.41,1,79,5,95,9,4,12
14,6.93,4,61,0,57,7,5,7
15,9.5,3,61,3,68,9,1,2
21,6.88,4,98,0,65,3,1,7
8,6.56,2,77,2,80,5,1,11
21,9.64,1,96,9,99,8,1,10
13,5.78,1,45,5,97,7,1,6
0,8.38,2,67,2,47,2,3,14
23,6.04,4,79,2,67,7,4,9
18,6.22,1,96,3,71,4,3,4
22,3.05,2,51,3,83,8,5,3
23,5.78,2,77,9,68,3,2,2
5,3.04,3,63,5,66,3,4,6
24,9.02,5,88,2,60,4,1,8
10,6.45,5,82,2,56,1,2,9
14,9.04,5,85,7,60,4,4,13
3,6.1,4,50,5,81,1,4,5
4,5.79,3,76,3,58,2,3,14
19,3.95,2,59,8,73,4,5,13
12,3.59,2,40,5,64,1,2,12
15,4.0,2,42,8,45,2,4,9
21,9.32,2,80,2,46,3,5,6
1,7.15,3,65,5,61,5,1,4
