,productivity_score
911,95.54431756106064
793,77.05261046432395
960,75.44737516682095
684,57.6977530065887
383,83.44515784695089
956,94.66414976972378
751,79.85028515333872
257,70.52039501273262
538,83.84060070727745
335,67.25703225529986
15,81.60284032212242
324,90.81789332021808
758,83.75449253139325
222,80.30043242165186
179,60.85578183448003
983,51.66133253535804
22,62.04479498003694
356,77.70122319381673
666,89.31234745771451
861,75.7360538377874
340,69.82960264247984
431,100.0
551,100.0
833,60.47223241852485
203,100.0
630,100.0
93,55.10472711814288
558,55.52707595836582
68,67.36524317968353
622,75.90122373351926
284,96.46439554665466
844,84.86107446145738
434,43.56326870913372
153,74.11764990861441
75,77.9109530611788
730,81.81301503169422
446,55.42874300449645
188,85.74253522651414
271,100.0
236,93.07371637528968
487,74.76713785152282
117,82.42259385936073
943,94.41068770642336
512,61.53532239681384
825,54.221279668719816
591,68.98451669505468
126,100.0
116,91.23685297594194
473,100.0
693,100.0
57,65.81433342951189
863,86.83200873078155
912,59.87290958591977
369,54.3827734471597
268,77.39777461016278
46,34.39248738193888
349,75.94974967743875
195,81.69574697787833
999,72.97124481494356
834,100.0
736,93.4437648389314
263,62.41885742013771
443,74.80790172570896
675,99.77194774071856
304,78.52053853950977
341,80.57270060621735
966,100.0
149,79.75533033031681
124,80.18280173074061
786,95.19145810774094
50,70.89295807474714
353,100.0
927,63.18469375217986
142,97.5457885341868
470,77.31873146553215
399,100.0
625,52.58610681385672
320,76.53052022509331
19,100.0
809,77.67358889742619
790,81.23323952367257
808,87.77228726660796
407,72.8354533500666
537,66.68242352671801
620,59.68856240914698
38,100.0
175,55.70153618440368
245,57.33243163840472
828,97.06894309107304
667,83.12928302432746
754,100.0
858,86.39884154172735
154,100.0
287,86.88794543655756
602,94.14648464174876
569,98.8730680132674
743,78.18276632125934
17,91.09334883322931
127,86.6500129172332
322,74.97996185743574
255,75.8411576386874
657,91.994960851565
964,70.99208687748836
190,100.0
115,73.44722527860945
616,93.440969895137
606,75.59793259354272
180,84.25611166751351
301,70.00782813324263
759,100.0
712,100.0
723,100.0
685,76.90315613946822
979,73.94260151246051
517,97.0281678765261
984,72.2679212057602
45,87.21469484271024
909,100.0
157,92.95336017126364
851,44.35132459865986
171,100.0
16,95.98024524964006
511,100.0
48,89.13987262803991
971,100.0
940,54.01387623725864
515,85.208622579361
952,46.694548140927
480,39.84469793215312
283,80.55057841913548
718,76.979369783962
877,96.3820235698566
225,76.047893694745
26,87.16476694200172
954,100.0
437,100.0
951,84.01812272947404
364,89.47977046407601
229,96.11849698898033
37,86.77790537372799
965,49.631868615466765
374,94.60736519150748
469,43.25793656610139
967,77.38257957270883
850,96.47384043787392
704,100.0
841,65.98056599493484
194,50.78801734732458
854,88.23412902264002
864,100.0
503,89.70571750572773
969,83.49678167598934
830,99.1587380320772
579,57.44370750036536
968,52.04483143793311
162,80.79125197764617
908,69.39536529969928
152,68.03473478885185
801,83.41233284701656
993,87.41122070823039
755,90.37620322339846
111,88.19718534396853
226,85.13455796651408
688,72.73029015560311
103,90.34090726332384
421,77.80868514869091
419,78.11728603966246
750,44.10279753465046
586,94.77564636246152
780,43.6283372335808
672,93.1083173488544
119,96.4656076077925
53,100.0
151,69.08305337430039
403,100.0
945,100.0
207,28.349078553812912
658,79.41403263301923
843,74.90673902451583
762,100.0
8,100.0
807,75.30552121727028
36,63.98591789808463
452,100.0
651,43.434129264284856
253,67.55785646272105
303,88.15685267914584
746,40.6249207194464
571,80.87893157457131
623,100.0
732,100.0
891,81.49645380911794
262,52.89775054030289
610,97.84092459909648
297,100.0
414,94.51557062058497
150,78.35193152767971
788,93.67700831715668
640,81.35502862920755
889,76.78458799743068
550,100.0
886,82.26661875701782
488,100.0
147,92.81839044389748
146,70.8432748850283
720,60.98951106246694
931,100.0
739,67.88893410734136
659,94.07519963836948
348,100.0
463,92.10525813022186
325,46.654030816758734
186,96.76423922927596
123,100.0
853,87.49457375540011
608,55.52360625633992
143,44.1401912315001
958,50.3421672122484
197,79.40566750476285
609,100.0
279,72.37940358112738
293,96.15701922451922
400,100.0
122,96.7730362848497
183,78.13516631274683
202,54.778087106946
438,100.0
246,100.0
415,100.0
932,77.53348363145042
765,84.58446441898406
906,86.07081224154783
835,60.63762071817139
887,60.57610754481212
129,83.83105074123206
637,72.88562668253071
402,60.85674353883161
784,92.29542403101904
770,84.31704015022893
735,100.0
913,84.34116153291579
219,84.98411316929251
641,59.57144748371943
915,64.25144273015954
752,97.23123735282056
806,89.54262159273937
919,73.7626694147944
624,85.35666536491031
874,100.0
760,78.76824179665235
386,95.49045414085326
972,73.22392350065854
509,100.0
267,58.0125771813259
819,59.79086490653136
441,75.92043060746177
496,86.07239430478272
112,65.01663487535744
691,100.0
232,78.17721826808108
869,27.30737122178863
607,100.0
671,76.44970363936703
373,86.2455698242604
981,58.80402279686327
842,85.08717406236252
233,77.05654819907369
785,81.00479929584004
676,53.59606209552203
317,40.10398738075768
648,100.0
410,78.0881516244701
898,83.62336819383277
709,75.79201167667208
358,76.08152783734417
258,64.69397991302372
744,86.10532250107904
627,94.84959188131316
632,88.18676401160972
282,65.83349274445833
376,78.04611275616298
384,75.70765039101423
224,100.0
953,70.08205158108092
814,89.76029618589024
472,99.94887687478732
347,100.0
505,96.81601186243384
639,74.1865249919613
987,59.53057728029711
928,68.33707172694291
905,72.3920870821105
619,45.320285911325165
855,100.0
803,83.99390245281779
645,80.44668369894947
846,100.0
556,60.05268763500701
957,61.84786074387052
577,92.64488302198733
795,59.16925714596874
85,84.37461679325095
242,94.83015161535695
698,62.46946525993045
159,47.02476330679286
524,87.13735763962794
35,87.52955303080202
540,75.93777085198832
170,84.16666168173585
654,98.13771428239276
890,78.48245890522513
857,100.0
847,81.32532573171599
944,100.0
733,86.66109714837684
95,96.86993375853147
563,100.0
240,67.49802230495345
742,43.769467347116695
574,86.56965891323156
690,96.37514224375336
460,100.0
553,100.0
888,65.1272796823021
206,100.0
392,90.91244264452672
794,100.0
397,64.67906574312572
766,39.771397060265166
848,80.1169846365115
217,87.48845465927582
4,65.26717694359046
768,92.9890672653178
642,95.19215935998452
929,76.0408561377713
612,64.4140748815537
738,65.29925304775335
546,85.5465332112218
725,68.7532926118434
683,73.4242779230297
98,69.25088701714199
804,75.64507426180965
727,61.68725750130983
573,86.376415240216
406,81.30740802418158
502,100.0
47,92.45831670194818
32,69.20746772170185
779,100.0
839,100.0
200,66.65278359064637
134,89.86456234413114
27,83.71165293855819
880,76.98404023231949
230,48.87692567036885
489,86.86233661307033
772,92.50241864454227
378,69.10765836639027
288,76.98735608908011
418,54.5069069060942
674,69.32126556549744
391,70.35198617988333
592,75.5068787401975
498,100.0
138,74.67765481624687
62,100.0
471,69.21581245946139
647,100.0
128,86.5847899434523
976,76.13482054020265
520,97.502369885464
838,100.0
962,68.27820626848326
64,100.0
812,69.23887134944715
14,60.3722572482311
156,93.36551320749932
40,90.90309833386732
492,68.48962590811634
379,100.0
187,51.98781938819704
763,100.0
216,92.9595020866302
791,100.0
52,67.45526847969117
878,67.16519053905046
337,89.09958654536256
748,61.22755336056024
719,69.77138363348647
724,96.39590301963868
295,61.7073819477493
701,76.68904070197725
251,95.24201032665364
726,84.6705869147715
461,100.0
455,95.08284394135696
996,95.59170670772453
815,87.27948614536061
862,76.50538213696827
269,73.3497896654231
201,76.87080271681631
161,72.31413680982517
555,88.51592614647512
729,88.70687668314594
401,84.25462859926016
702,100.0
476,100.0
821,75.3616341128917
771,62.44378779968
105,55.39443318265608
565,100.0
389,81.93851182364378
1,76.01874766867991
937,63.359374624305886
982,89.70798056311911
561,59.18891642861594
80,100.0
205,94.74431109877808
34,65.85087119495293
775,91.99188182099093
508,50.521826540365694
427,84.71438773430856
454,96.05026696848844
366,59.309932483458944
91,74.14248690407183
339,82.31378813646498
897,100.0
564,77.1237212137698
345,100.0
776,100.0
241,69.3351581968447
13,50.91238517308402
315,71.08701451067537
600,51.705966295340126
387,84.95978538336718
273,69.80142959605799
166,59.37555798834551
840,93.34098686593568
992,100.0
646,81.62017725852864
818,100.0
484,50.23623167919231
980,100.0
504,100.0
831,58.71602291215277
243,27.374515397738865
566,76.75310699995917
875,63.67547787591553
562,89.99001069792537
686,92.11683572819562
189,88.10663842542941
782,100.0
699,100.0
475,100.0
681,53.1231210770998
510,71.1659909956627
58,67.88538396551169
474,75.72432808594169
560,63.96353675613253
856,94.23739797101922
747,54.816700597455394
252,96.38449588840464
21,52.96635807703849
313,41.49269701521244
459,92.52546333609384
160,100.0
276,87.20103354463501
955,75.4827127765993
191,69.2182566422616
385,94.20457104864312
805,61.68545992387871
413,67.65433588968519
491,57.38741341531716
343,66.41521598962335
769,100.0
308,73.32054625470238
661,55.108200699520566
130,100.0
663,76.20513142947493
871,57.347212131264826
99,95.86157500580404
372,86.07182478197815
87,56.29316898773275
458,68.53232772415095
330,100.0
214,65.54957329196861
466,65.96497904820444
121,66.40142574178547
614,42.231338405853
20,100.0
700,79.01129290354902
71,69.74559794266943
106,75.14213637605067
270,71.47822499150134
860,100.0
435,100.0
102,91.79718491512202
